Title,Original_Price,Offer_Price,Stars_out_of_5,Ratings,Flipkart_Assured,Specification
"Infinix SMART 8 HD (Timber Black, 64 GB)","₹7,999","₹6,399",4.3,"20,239 Ratings & 1,684 Reviews",Yes,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
"Infinix SMART 8 HD (Galaxy White, 64 GB)","₹7,999","₹6,399",4.3,"20,239 Ratings & 1,684 Reviews",Yes,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
"Infinix SMART 8 HD (Crystal Green, 64 GB)","₹7,999","₹6,399",4.3,"20,239 Ratings & 1,684 Reviews",Yes,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
"vivo T2x 5G (Sunstone Orange, 128 GB)","₹18,999","₹12,999",4.4,"3,61,183 Ratings & 20,343 Reviews",Yes,6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,"₹8,999",4.3,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A
"Motorola Edge 40 Neo (Caneel Bay, 128 GB)","₹27,999","₹22,999",4.3,"32,129 Ratings & 4,091 Reviews",Yes,8 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh BatteryDimensity 7030 Processor1 Year on Handset and 6 Months on Accessories
"Motorola G34 5G (Ice Blue, 128 GB)","₹13,999","₹10,999",4.2,"13,322 Ratings & 1,424 Reviews",Yes,4 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories
